Session,prefix,Gorilla Protocol names,UniqueName,EN-GB,IT,FR,FR_redirect,TR,CA-FR,JP,DE,US-CAN,IN,IN_redirect,IN_short,CO,CO_Short,GR,AR,AR-Qu-01,AR-Tasks-1,AR-Qu-02,AR-Tasks-2,questionnaire or task name,JP_C2
1,questionnaire-,Welcome_consent,S1_Welcome,bf7f,bf7f,7b1e,NA,bf7f,7b1e,bf7f,bf7f,bf7f,bf7f,NA,NA,bf7f,bf7f,11oo,bf7f,bf7f,bf7f,bf7f,bf7f,NA,NA
1,checkpoint,Session1_confinement_Start,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,ConfinementTracker,S1_ConfinementTrack_r1,oxhg,oxhg,l7nj,l7nj,oxhg,l7nj,oxhg,oxhg,oxhg,oxhg,NA,oxhg,oxhg,oxhg,9jf1,oxhg,NA,NA,NA,NA,NA,NA
1,questionnaire-,ConfinementTracker,S1_ConfinementTrack_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zovi,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,Demographics,S1_Demographics,s8ta,s8ta,z3jr,NA,s8ta,z3jr,s8ta,s8ta,s8ta,s8ta,NA,s8ta,s8ta,s8ta,28fy,s8ta,NA,NA,NA,NA,NA,NA
1,questionnaire-,General_Instructions,S1_Instructions,nkrh,nkrh,sav9,sav9,nkrh,sav9,nkrh,nkrh,nkrh,nkrh,NA,nkrh,nkrh,nkrh,cabn,nkrh,NA,NA,NA,NA,NA,NA
1,questionnaire-,Workday,S1_Workday_r1,yeh1,yeh1,7hxh,NA,yeh1,7hxh,yeh1,yeh1,yeh1,yeh1,NA,yeh1,yeh1,yeh1,7zfm,yeh1,NA,NA,NA,NA,NA,NA
1,questionnaire-,02_UCLA,S1_UCLA,yvjs,yvjs,6kqm,NA,yvjs,6kqm,yvjs,yvjs,yvjs,yvjs,NA,NA,yvjs,NA,mv5l,yvjs,NA,NA,NA,NA,NA,NA
1,questionnaire-,03_IQ,S1_IQ,omgj,omgj,pg6r,NA,omgj,pg6r,omgj,omgj,omgj,omgj,NA,omgj,omgj,omgj,dgcv,omgj,NA,NA,NA,NA,NA,NA
1,questionnaire-,04_rMEQ,S1_rMEQ,2wc3,2wc3,vhfb,NA,2wc3,vhfb,2wc3,2wc3,2wc3,2wc3,NA,NA,2wc3,NA,m941,2wc3,NA,NA,NA,NA,NA,NA
1,questionnaire-,05_ZTPI,S1_ZTPI,ribw,ribw,zw1c,NA,ribw,zw1c,ribw,ribw,ribw,ribw,NA,ribw,ribw,ribw,pzj9,ribw,NA,NA,NA,NA,NA,NA
1,questionnaire-,06_HADS,S1_HADS_r1,dl8j,dl8j,l1r5,NA,dl8j,l1r5,dl8j,dl8j,dl8j,dl8j,NA,dl8j,dl8j,dl8j,yxav,dl8j,NA,NA,NA,NA,NA,NA
1,questionnaire-,07a_PSQI,S1_PSQI,xdwk,xdwk,i7b2,NA,xdwk,i7b2,xdwk,xdwk,xdwk,xdwk,NA,xdwk,xdwk,xdwk,veyc,xdwk,NA,NA,NA,NA,NA,NA
1,questionnaire-,07c_muMCQT,S1_MCQT,sytt,sytt,mjj2,NA,sytt,mjj2,sytt,sytt,sytt,sytt,NA,3de8,sytt,3de8,kb6m,sytt,NA,NA,NA,NA,NA,NA
1,questionnaire-,08_ASQ,S1_ASQ,jbij,jbij,b6ic,NA,jbij,b6ic,jbij,jbij,jbij,jbij,NA,unhy,unhy,unhy,vla4,jbij,NA,NA,NA,NA,NA,NA
1,questionnaire-,08_ASQ,S1_ASQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jbij,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,09_BFI-10,S1_BFI,6c6j,6c6j,8sim,NA,6c6j,8sim,6c6j,hns2,6c6j,6c6j,NA,nhnp,nhnp,nhnp,anhx,6c6j,NA,NA,NA,NA,NA,NA
1,questionnaire-,09_BFI-10,S1_BFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6c6j,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,10_Retrospective_Duration,S1_RetroDuration,ywwq,ywwq,z19v,NA,ywwq,z19v,ywwq,ywwq,ywwq,ywwq,NA,75ik,75ik,75ik,uw7y,ywwq,NA,NA,NA,NA,NA,NA
