Session,Country,start,end,,
Session 1,JP,2020/04/20,2020/05/26,,
Session 2,JP,2020/06/08,2020/07/07,,
Session 3,JP,2020/09/23,2020/10/23,,
Session Control,JP,2021/07/01,2021/07/21,,
Session 1,FR,2020/04/06,2020/06/01,,
Session 2,FR,2020/05/11,2020/08/04,,
Session 3,FR,2020/08/30,2020/10/28,,
Session 4,FR,2020/11/16,2020/12/14,,
Session Control,FR,2021/05/26,2021/07/04,,
Session 1,IT,2020/04/04,2020/05/20,,
Session 2,IT,2020/05/05,2020/07/03,,
Session 3,IT,2020/09/08,2020/11/15,,
Session 4,IT,2020/11/20,2020/12/30,,
Session Control,IT,2021/04/27,2021/07/30,,
Session 1,AR,2020/05/11,2020/10/17,,
Session 2,AR,,,,
Session 3,AR,,,,
Session Control,AR,,,,
Session 1,CA,2020/04/27,2020/06/10,,
Session 2,CA,2020/06/16,,,
Session 3,CA,,,,
Session Control,CA,,,,
Session 1,CO,2020/04/30,2020/06/10,,
Session 2,CO,2020/06/16,,,
Session 3,CO,,,,
Session Control,CO,,,,
Session 1,DE,2020/04/20,2020/06/01,,
Session Control,DE,2021/06/09,2021/10/01,,
Session 1,GR,2020/04/16,2020/05/05,,
Session 1,IN,2020/04/22,2020/06/06,,
Session 1,TR,2020/04/21,2020/06/10,,
Session 2,TR,2020/06/10,2020/09/17,,
Session 3,TR,2020/09/27,2021/01/06,,
Session Control,TR,2021/06/22,2021/10/01,,
